org_inv_dk,rearer_dk,rearer_pop_dk,org_category,start_dt,end_dt,class_result_nm,org_test_result_nm
FQ7IoQEgEADgEzmmCgsFAsznrtQ=,,,种猪场,2023-12-13,2024-02-23,高繁感染,"ABE型,B阳,A阳（单缺）+B阳,A阳（单缺）"
bDoAAB5leNfM567U,,,种猪场,2023-01-01,2023-01-26,高繁感染,B阳
bDoAAJNCEznM567U,,,种猪场,2022-12-26,2023-02-14,高繁感染,B阳
e03d3f1b-010a-1000-e004-3b75c0a802deCCE7AED4,,,种猪场,2023-08-01,2023-08-21,高繁感染,ABD型
bDoAAD/EIvrM567U,,,种猪场,2023-07-17,2023-08-24,高繁感染,B阳
bDoAAKH9DpDM567U,,,种猪场,2023-11-03,2023-11-27,高繁感染,B阳
bDoAAExQ2YfM567U,,,种猪场,2022-01-11,2022-04-14,高繁感染,"B阳,A阳（单缺）"
bDoAAHz3F9vM567U,,,种猪场,2022-04-26,2022-06-08,高繁感染,A阳（双缺）
bDoAAHQXPQTM567U,,,种猪场,2022-05-26,2022-06-27,高繁感染,B阳
bDoAAJNKZmzM567U,,,种猪场,2023-01-24,2023-02-26,高繁感染,A阳（双缺）
MnBcDQEhEADgAH72CgsCBsznrtQ=,,,种猪场,2023-02-19,2023-03-13,高繁感染,D阳+B阳
pN3jgwEXEADgRLYiCgsCAcznrtQ=,,,种猪场,2023-07-28,2023-09-10,高繁感染,B阳
bDoAADqXW6zM567U,,,种猪场,2024-03-22,2024-04-16,高繁感染,ABE型
bDoAABozn+zM567U,,,种猪场,2024-05-29,2024-07-08,高繁感染,A阳（双缺）
ciJ9gUr9R2qmB22v2j2nScznrtQ=,,,种猪场,2024-09-05,2024-10-02,高繁感染,A阳（单缺）
bDoAAADXGsPM567U,,,种猪场,2024-09-12,2024-10-15,高繁感染,A阳（双缺）
OxabekMkQHKRMWn1AUn11sznrtQ=,,,种猪场,2022-05-23,2022-06-18,高繁感染,A阳（双缺）
VVMTzQESEADgBAvlfwAAAcznrtQ=,,,种猪场,2023-03-17,2023-04-08,高繁感染,B阳
OxabekMkQHKRMWn1AUn11sznrtQ=,,,种猪场,2023-01-12,2023-05-25,高繁感染,"A阳（双缺）,B阳,A阳（单缺）+B阳,A阳（单缺）"
bDoAAKnsKAjM567U,,,种猪场,2023-02-12,2023-06-09,高繁感染,A阳（双缺）
