stats_dt,pigfarm_dk,org_inv_dk,org_inv_nm,l2_org_inv_nm,l3_org_inv_nm,l4_org_inv_nm,l5_org_inv_nm,abort_qty,preg_stock_qty,abortion_1_7
2023-01-21,Kv/utwEREADgAH26fwAAAcznrtQ=,Kv/utwEREADgAH26fwAAAcznrtQ=,和庆种猪场,海南温氏,（停用）琼海公司,和庆种猪场,,0.0,1664.0,0.0006006006006006
2023-01-21,bDoAAKfyFNXM567U,bDoAAKfyFNXM567U,雅星种猪场,海南温氏,（停用）琼海公司,雅星种猪场,,0.0,6334.0,0.0004734101309768
2023-01-21,bDoAAKurSXDM567U,bDoAAKurSXDM567U,戈枕种猪场,海南温氏,（停用）琼海公司,戈枕种猪场,,1.0,2815.0,0.0014189428875487
2023-01-21,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,塔洋种猪一场,海南温氏,（停用）琼海公司,塔洋种猪一场,,0.0,3143.0,0.0006359300476947
2023-01-21,jlK20QEfEADgAmz4CgsFAsznrtQ=,jlK20QEfEADgAmz4CgsFAsznrtQ=,十八种猪场,海南温氏,（停用）琼海公司,十八种猪场,,2.0,2330.0,0.0008576329331046
2023-01-22,Kv/utwEREADgAH1xfwAAAcznrtQ=,Kv/utwEREADgAH1xfwAAAcznrtQ=,木排种猪场,海南温氏,（停用）琼海公司,木排种猪场,,0.0,1992.0,0.0
2023-01-22,Kv/utwEREADgAH26fwAAAcznrtQ=,Kv/utwEREADgAH26fwAAAcznrtQ=,和庆种猪场,海南温氏,（停用）琼海公司,和庆种猪场,,0.0,1664.0,0.0006006006006006
2023-01-22,bDoAAKfyFNXM567U,bDoAAKfyFNXM567U,雅星种猪场,海南温氏,（停用）琼海公司,雅星种猪场,,1.0,6302.0,0.0004758128469468
2023-01-22,bDoAAKurSXDM567U,bDoAAKurSXDM567U,戈枕种猪场,海南温氏,（停用）琼海公司,戈枕种猪场,,0.0,2844.0,0.0007027406886858
2023-01-22,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,塔洋种猪一场,海南温氏,（停用）琼海公司,塔洋种猪一场,,0.0,3101.0,0.0006445375443119
